Canal,Estado Reserva,Fecha,Id Reserva,Pais,Regimen Pension,Segmento,Tipo Deposito,Tipo Hab Asignada,Tipo Hab Reservada,Adr,Adultos,Antelacion Reserva,Bebes,Cancelado,fACTURACION,Niños,Noches Finde,Noches Semana,Parking,Tasa de Cancelacion,Vuelve
TA/TO,Check-Out,05/07/2015,7887,ESP,BB,Online TA,No Deposit,E,E,123,2,8,0,0,123,0,0,1,0,0,0
TA/TO,Check-Out,05/07/2015,9949,PRT,HB,Offline TA/TO,No Deposit,A,A,91.5,2,2,0,0,183,0,0,2,0,0,0
TA/TO,Check-Out,05/07/2015,11890,USA,BB,Online TA,No Deposit,H,G,153,2,10,0,0,306,2,0,2,1,0,0
Direct,Check-Out,05/07/2015,11894,PRT,FB,Complementary,No Deposit,H,H,0,4,32,0,0,0,0,0,1,0,0,0
TA/TO,Check-Out,05/07/2015,18639,PRT,BB,Online TA,No Deposit,E,D,153,2,181,0,0,612,0,0,4,0,0,0
TA/TO,Canceled,06/07/2015,38,PRT,BB,Online TA,No Deposit,A,A,153,2,25,0,1,153,0,0,1,0,1,0
TA/TO,Check-Out,06/07/2015,3954,FRA,BB,Online TA,No Deposit,C,A,73.8,2,100,0,0,147.6,0,1,1,1,0,0
TA/TO,Canceled,06/07/2015,4018,PRT,HB,Online TA,No Deposit,A,A,157.67,2,57,1,1,473.01,0,0,3,0,1,0
TA/TO,Check-Out,06/07/2015,5900,PRT,BB,Online TA,No Deposit,E,A,98,2,2,0,0,98,0,1,0,0,0,0
Direct,Check-Out,06/07/2015,5901,PRT,BB,Direct,No Deposit,H,E,0,1,0,0,0,0,0,0,0,0,0,0
TA/TO,Canceled,06/07/2015,5920,PRT,BB,Online TA,No Deposit,D,D,135,2,67,0,1,270,0,0,2,0,1,0
Direct,Canceled,06/07/2015,5941,PRT,BB,Direct,No Deposit,C,C,218,3,54,0,1,1526,1,2,5,0,1,0
TA/TO,Canceled,06/07/2015,6006,PRT,BB,Online TA,No Deposit,A,A,40.5,2,119,0,1,40.5,0,1,0,0,1,0
TA/TO,Check-Out,06/07/2015,6630,USA,BB,Online TA,No Deposit,G,G,153,2,0,0,0,153,2,1,0,0,0,0
TA/TO,Canceled,06/07/2015,7920,PRT,HB,Online TA,No Deposit,A,A,164,2,34,0,1,820,0,1,4,0,1,0
TA/TO,Canceled,06/07/2015,7922,PRT,BB,Online TA,No Deposit,A,A,146.67,2,30,0,1,440.01,0,0,3,0,1,0
TA/TO,Canceled,06/07/2015,8669,PRT,BB,Online TA,No Deposit,A,A,123,2,197,0,1,738,0,1,5,0,1,0
TA/TO,Check-Out,06/07/2015,9954,FRA,BB,Online TA,No Deposit,A,A,73.8,2,100,0,0,147.6,0,1,1,0,0,0
TA/TO,Canceled,06/07/2015,9977,PRT,BB,Online TA,No Deposit,H,H,210,2,19,0,1,840,2,1,3,0,1,0
TA/TO,Canceled,06/07/2015,11936,PRT,BB,Online TA,No Deposit,A,A,153,2,61,0,1,459,0,0,3,0,1,0
Direct,Check-Out,06/07/2015,12634,PRT,BB,Direct,No Deposit,G,E,154,2,135,0,0,308,0,1,1,1,0,0
TA/TO,Canceled,06/07/2015,13883,PRT,BB,Online TA,No Deposit,D,D,173,2,19,0,1,692,0,1,3,0,1,0
TA/TO,Check-Out,06/07/2015,15837,PRT,BB,Online TA,No Deposit,D,D,108.8,3,36,0,0,435.2,0,1,3,0,0,0
TA/TO,Check-Out,06/07/2015,15843,FRA,BB,Online TA,No Deposit,C,A,73.8,2,100,0,0,147.6,0,1,1,0,0,0
TA/TO,Check-Out,06/07/2015,15844,ESP,BB,Online TA,No Deposit,C,A,85.1,2,0,0,0,85.1,0,1,0,0,0,0
TA/TO,Canceled,06/07/2015,17927,PRT,BB,Online TA,No Deposit,A,A,153,2,25,0,1,306,0,0,2,0,1,0
TA/TO,Canceled,06/07/2015,17947,PRT,HB,Online TA,No Deposit,A,A,164,2,55,0,1,328,0,0,2,0,1,0
TA/TO,Canceled,06/07/2015,17993,PRT,BB,Online TA,No Deposit,A,A,40.5,2,119,0,1,40.5,0,1,0,0,1,0
TA/TO,Canceled,07/07/2015,778,IRL,HB,Groups,No Deposit,A,A,63.4,2,279,0,1,443.8,0,2,5,0,1,0
TA/TO,Canceled,07/07/2015,779,IRL,HB,Groups,No Deposit,A,A,63.4,2,279,0,1,443.8,0,2,5,0,1,0
TA/TO,Canceled,07/07/2015,780,IRL,HB,Groups,No Deposit,A,A,63.4,2,279,0,1,443.8,0,2,5,0,1,0
TA/TO,Canceled,07/07/2015,781,IRL,HB,Groups,No Deposit,A,A,63.4,2,279,0,1,443.8,0,2,5,0,1,0
Direct,Check-Out,07/07/2015,2023,ROU,HB,Direct,No Deposit,E,E,137,2,70,0,0,685,0,2,3,0,0,0
TA/TO,Check-Out,07/07/2015,2025,DEU,BB,Offline TA/TO,No Deposit,A,A,110.7,2,72,0,0,442.8,0,2,2,1,0,0
TA/TO,Check-Out,07/07/2015,2027,FRA,BB,Offline TA/TO,No Deposit,D,D,71.55,2,98,0,0,214.65,0,2,1,1,0,0
TA/TO,Canceled,07/07/2015,2755,IRL,HB,Groups,No Deposit,A,A,63.4,2,279,0,1,443.8,0,2,5,0,1,0
TA/TO,Canceled,07/07/2015,2756,IRL,HB,Groups,No Deposit,A,A,63.4,2,279,0,1,443.8,0,2,5,0,1,0
TA/TO,Canceled,07/07/2015,2757,IRL,HB,Groups,No Deposit,A,A,63.4,2,279,0,1,443.8,0,2,5,0,1,0
TA/TO,Canceled,07/07/2015,3991,PRT,BB,Online TA,No Deposit,C,C,135.53,2,57,0,1,1897.42,2,4,10,0,1,0
TA/TO,Canceled,07/07/2015,4705,IRL,HB,Groups,No Deposit,A,A,63.4,2,279,0,1,443.8,0,2,5,0,1,0
TA/TO,Check-Out,07/07/2015,5894,IRL,BB,Offline TA/TO,No Deposit,D,D,79.5,2,45,0,0,397.5,0,2,3,0,0,0
TA/TO,Canceled,07/07/2015,6631,IRL,HB,Groups,No Deposit,A,A,63.4,2,279,0,1,443.8,0,2,5,0,1,0
TA/TO,Canceled,07/07/2015,8670,IRL,HB,Groups,No Deposit,A,A,63.4,2,279,0,1,443.8,0,2,5,0,1,0
Direct,Check-Out,07/07/2015,9947,ESP,BB,Direct,No Deposit,F,F,123,2,16,0,0,615,0,2,3,0,0,0
Direct,Check-Out,07/07/2015,9948,ROU,HB,Direct,No Deposit,E,E,137,2,70,0,0,685,0,2,3,0,0,0
Direct,Check-Out,07/07/2015,11886,PRT,BB,Direct,No Deposit,A,A,84.67,2,72,0,0,508.02,0,2,4,0,0,0
TA/TO,Canceled,07/07/2015,12635,IRL,HB,Groups,No Deposit,A,A,63.4,2,279,0,1,443.8,0,2,5,0,1,0
Direct,Check-Out,07/07/2015,13852,PRT,BB,Direct,No Deposit,D,D,99.67,2,72,0,0,598.02,0,2,4,0,0,0
TA/TO,Check-Out,07/07/2015,13858,FRA,BB,Online TA,No Deposit,E,D,97,2,80,0,0,194,0,2,0,1,0,0
Direct,Check-Out,07/07/2015,13861,PRT,BB,Direct,No Deposit,E,A,131,2,2,0,0,131,1,1,0,0,0,0
TA/TO,Canceled,07/07/2015,14607,IRL,HB,Groups,No Deposit,A,A,63.4,2,279,0,1,443.8,0,2,5,0,1,0
TA/TO,Canceled,07/07/2015,16621,IRL,HB,Groups,No Deposit,A,A,63.4,2,279,0,1,443.8,0,2,5,0,1,0
TA/TO,Canceled,07/07/2015,17986,PRT,BB,Online TA,No Deposit,D,D,123.56,2,94,0,1,1112.04,0,2,7,0,1,0
TA/TO,Canceled,08/07/2015,119,PRT,BB,Groups,Non Refund,A,A,36.05,2,143,0,1,252.35,0,2,5,0,1,0
TA/TO,Canceled,08/07/2015,782,PRT,HB,Offline TA/TO,No Deposit,A,A,34,2,239,0,1,68,0,1,1,0,1,0
TA/TO,Canceled,08/07/2015,783,PRT,BB,Offline TA/TO,Non Refund,A,A,54.99,2,260,0,1,384.93,0,2,5,0,1,0
TA/TO,Canceled,08/07/2015,2758,PRT,HB,Offline TA/TO,No Deposit,A,A,34,2,239,0,1,68,0,1,1,0,1,0
TA/TO,Check-Out,08/07/2015,3952,PRT,BB,Online TA,No Deposit,A,A,94,2,77,0,0,658,0,2,5,0,0,0
TA/TO,Canceled,08/07/2015,4069,PRT,BB,Groups,Non Refund,A,A,36.05,2,143,0,1,252.35,0,2,5,0,1,0
TA/TO,Check-Out,08/07/2015,5893,IRL,BB,Offline TA/TO,No Deposit,D,D,79.5,2,48,0,0,556.5,0,2,5,0,0,0
TA/TO,Canceled,08/07/2015,6002,PRT,BB,Groups,Non Refund,A,A,36.05,2,143,0,1,252.35,0,2,5,0,1,0
TA/TO,Canceled,08/07/2015,7975,PRT,BB,Online TA,No Deposit,A,A,87.33,2,77,0,1,785.97,0,2,7,0,1,0
TA/TO,Canceled,08/07/2015,7990,PRT,BB,Groups,Non Refund,A,A,36.05,2,143,0,1,252.35,0,2,5,0,1,0
TA/TO,Canceled,08/07/2015,7991,PRT,BB,Groups,Non Refund,A,A,36.05,2,143,0,1,252.35,0,2,5,0,1,0
TA/TO,Canceled,08/07/2015,7992,PRT,BB,Groups,Non Refund,A,A,36.05,2,143,0,1,252.35,0,2,5,0,1,0
TA/TO,Check-Out,08/07/2015,10719,GBR,BB,Offline TA/TO,No Deposit,A,A,55.68,2,127,0,0,334.08,0,2,4,0,0,0
TA/TO,Check-Out,08/07/2015,10720,IRL,BB,Offline TA/TO,No Deposit,A,A,69.6,2,149,0,0,487.2,1,2,5,0,0,0
TA/TO,Check-Out,08/07/2015,10721,BRA,BB,Online TA,No Deposit,C,A,122.7,2,139,0,0,368.1,0,2,1,1,0,0
TA/TO,Canceled,08/07/2015,10722,PRT,HB,Offline TA/TO,No Deposit,A,A,34,2,239,0,1,68,0,1,1,0,1,0
TA/TO,Canceled,08/07/2015,10723,PRT,BB,Offline TA/TO,Non Refund,A,A,54.99,2,260,0,1,384.93,0,2,5,0,1,0
TA/TO,Check-Out,08/07/2015,11887,PRT,BB,Offline TA/TO,No Deposit,D,D,63.6,2,78,0,0,445.2,0,2,5,1,0,0
Corporate,Canceled,08/07/2015,11897,PRT,BB,Corporate,No Deposit,A,A,104.72,2,1,0,1,104.72,0,0,1,0,1,0
TA/TO,Canceled,08/07/2015,12636,PRT,BB,Offline TA/TO,Non Refund,A,A,54.99,2,260,0,1,384.93,0,2,5,0,1,0
TA/TO,Canceled,08/07/2015,12637,PRT,BB,Offline TA/TO,Non Refund,A,A,54.99,2,260,0,1,384.93,0,2,5,0,1,0
TA/TO,Check-Out,08/07/2015,13853,PRT,BB,Online TA,No Deposit,D,D,87.3,2,99,0,0,611.1,0,2,5,1,0,0
TA/TO,Canceled,08/07/2015,13880,PRT,BB,Online TA,No Deposit,E,E,157,2,42,0,1,314,0,0,2,0,1,0
TA/TO,Check-Out,08/07/2015,14608,IRL,BB,Offline TA/TO,No Deposit,A,A,55.68,2,149,0,0,389.76,0,2,5,0,0,0
TA/TO,Canceled,08/07/2015,14609,,BB,Offline TA/TO,No Deposit,A,A,58.95,2,246,0,1,412.65,0,2,5,0,1,0
TA/TO,Check-Out,08/07/2015,15836,IRL,BB,Offline TA/TO,No Deposit,C,A,65.5,2,69,0,0,393,0,2,4,0,0,0
Direct,Check-Out,08/07/2015,15846,PRT,HB,Direct,No Deposit,C,C,195,3,0,0,0,195,0,0,1,1,0,0
TA/TO,Canceled,08/07/2015,15956,PRT,BB,Groups,Non Refund,A,A,36.05,2,143,0,1,252.35,0,2,5,0,1,0
TA/TO,Check-Out,08/07/2015,17889,GBR,BB,Online TA,No Deposit,A,A,109.8,1,0,0,0,109.8,0,0,1,0,0,0
TA/TO,Check-Out,08/07/2015,18640,GBR,HB,Offline TA/TO,No Deposit,A,A,82.35,2,145,0,0,576.45,0,2,5,0,0,0
TA/TO,Check-Out,09/07/2015,784,GBR,HB,Offline TA/TO,No Deposit,A,A,60.35,1,152,0,0,422.45,0,2,5,0,0,0
TA/TO,Check-Out,09/07/2015,2024,NOR,BB,Offline TA/TO,No Deposit,D,D,67.58,2,113,0,0,473.06,0,2,5,0,0,0
TA/TO,Check-Out,09/07/2015,2759,IRL,BB,Offline TA/TO,No Deposit,E,E,87.75,2,226,0,0,614.25,0,2,5,0,0,0
TA/TO,Check-Out,09/07/2015,7884,ESP,BB,Offline TA/TO,No Deposit,A,A,58.95,2,96,0,0,412.65,0,2,5,0,0,0
TA/TO,Check-Out,09/07/2015,11888,NOR,BB,Offline TA/TO,No Deposit,E,E,82.88,2,113,0,0,580.16,0,2,5,0,0,0
TA/TO,Check-Out,09/07/2015,13854,PRT,BB,Online TA,No Deposit,A,A,110.7,2,107,0,0,774.9,0,2,5,0,0,0
TA/TO,Check-Out,09/07/2015,15838,IRL,HB,Online TA,No Deposit,F,E,119.35,2,50,0,0,835.45,0,2,5,0,0,0
Direct,Check-Out,09/07/2015,16622,CN,BB,Direct,No Deposit,A,A,58.95,2,147,0,0,117.9,0,0,2,0,0,0
TA/TO,Check-Out,09/07/2015,18641,PRT,HB,Online TA,No Deposit,A,A,100.8,2,183,0,0,302.4,0,1,2,0,0,0
Direct,Check-Out,10/07/2015,7,CHE,HB,Direct,No Deposit,G,G,210,2,81,0,0,840,2,1,3,1,0,0
Direct,Check-Out,10/07/2015,785,PRT,HB,Direct,No Deposit,A,A,99.7,2,103,0,0,498.5,0,2,3,0,0,0
TA/TO,Check-Out,10/07/2015,2761,PRT,BB,Online TA,No Deposit,C,A,123,2,230,0,0,492,0,1,3,0,0,0
Corporate,Check-Out,10/07/2015,3959,CHE,BB,Corporate,No Deposit,F,A,104.72,2,1,0,0,209.44,0,0,2,1,0,0
TA/TO,Check-Out,10/07/2015,4706,PRT,BB,Offline TA/TO,No Deposit,A,A,55.68,2,183,0,0,334.08,0,2,4,0,0,0
TA/TO,Canceled,10/07/2015,6010,PRT,BB,Online TA,No Deposit,D,D,55,2,107,0,1,385,0,2,5,0,1,0
Undefined,Check-Out,10/07/2015,6589,PRT,HB,Direct,No Deposit,A,A,112.7,2,103,0,0,563.5,1,2,3,1,0,0
TA/TO,Check-Out,10/07/2015,6632,NLD,BB,Online TA,No Deposit,A,A,123,2,186,0,0,369,0,0,3,0,0,0
TA/TO,Check-Out,10/07/2015,7888,PRT,BB,Online TA,No Deposit,C,A,73.8,2,104,0,0,295.2,0,1,3,0,0,0
TA/TO,Check-Out,10/07/2015,9952,PRT,BB,Online TA,No Deposit,D,D,99.3,2,101,0,0,695.1,1,2,5,1,0,0
TA/TO,Canceled,10/07/2015,9984,PRT,BB,Online TA,No Deposit,A,A,153,2,16,0,1,306,0,1,1,0,1,0
TA/TO,Check-Out,10/07/2015,10724,BRA,BB,Offline TA/TO,No Deposit,A,A,58.95,2,121,0,0,412.65,0,2,5,0,0,0
TA/TO,Check-Out,10/07/2015,11895,ESP,BB,Online TA,No Deposit,E,E,123,2,30,0,0,615,0,2,3,0,0,0
TA/TO,Canceled,10/07/2015,13920,PRT,BB,Online TA,No Deposit,E,E,192.2,2,93,0,1,961,0,1,4,0,1,0
TA/TO,Check-Out,10/07/2015,15847,PRT,BB,Online TA,No Deposit,C,C,123,2,17,0,0,123,2,0,1,0,0,0
Direct,Check-Out,10/07/2015,16586,PRT,BB,Direct,No Deposit,A,L,82,1,0,0,0,82,0,0,1,0,0,0
TA/TO,Check-Out,10/07/2015,16623,ITA,BB,Offline TA/TO,No Deposit,A,A,88.95,2,121,0,0,622.65,0,2,5,0,0,0
Corporate,Check-Out,10/07/2015,16624,PRT,BB,Corporate,No Deposit,A,A,80,1,20,0,0,80,0,0,1,0,0,0
TA/TO,Check-Out,10/07/2015,17887,CN,BB,Offline TA/TO,No Deposit,D,D,171.32,3,94,0,0,685.28,0,1,3,0,0,0
TA/TO,Check-Out,11/07/2015,2029,PRT,BB,Online TA,No Deposit,A,A,73.8,2,102,1,0,516.6,0,2,5,0,0,0
TA/TO,Check-Out,11/07/2015,2032,GBR,BB,Online TA,No Deposit,E,E,107,2,68,0,0,321,0,0,3,0,0,0
TA/TO,Check-Out,11/07/2015,3953,PRT,HB,Online TA,No Deposit,F,E,139,2,78,1,0,973,0,2,5,0,0,0
TA/TO,Check-Out,11/07/2015,3955,PRT,BB,Online TA,No Deposit,G,G,167,2,115,0,0,835,2,1,4,0,0,0
Direct,Check-Out,11/07/2015,3961,USA,BB,Direct,No Deposit,A,A,131,2,10,0,0,131,0,0,1,0,0,0
TA/TO,Check-Out,11/07/2015,4707,CN,BB,Online TA,No Deposit,E,E,154,2,186,0,0,616,0,0,4,0,0,0
Direct,Check-Out,11/07/2015,5902,PRT,HB,Direct,No Deposit,F,F,175,2,34,0,0,875,0,1,4,1,0,0
TA/TO,Check-Out,11/07/2015,5903,PRT,BB,Online TA,No Deposit,D,D,97,2,66,0,0,388,0,0,4,0,0,0
TA/TO,Check-Out,11/07/2015,6633,GBR,BB,Online TA,No Deposit,E,E,154,2,158,0,0,1078,0,2,5,0,0,0
Direct,Check-Out,11/07/2015,6634,PRT,HB,Direct,No Deposit,E,E,141.2,2,151,0,0,564.8,1,0,4,1,0,0
Direct,Check-Out,11/07/2015,8671,PRT,HB,Direct,No Deposit,G,G,157.25,2,151,0,0,629,2,0,4,0,0,0
TA/TO,Check-Out,11/07/2015,11893,PRT,BB,Offline TA/TO,No Deposit,A,A,58.95,2,115,0,0,412.65,0,2,5,0,0,0
TA/TO,Canceled,11/07/2015,11924,PRT,BB,Online TA,No Deposit,A,A,120.6,2,39,0,1,120.6,0,0,1,0,1,0
TA/TO,Check-Out,11/07/2015,12638,PRT,HB,Online TA,No Deposit,A,A,112,2,149,0,0,784,0,2,5,0,0,0
Direct,Canceled,11/07/2015,12639,PRT,BB,Direct,No Deposit,H,E,115,2,164,0,1,805,0,2,5,0,1,0
TA/TO,Check-Out,11/07/2015,13857,GBR,BB,Online TA,No Deposit,A,A,67.24,2,52,0,0,470.68,0,2,5,0,0,0
TA/TO,Check-Out,11/07/2015,13859,PRT,BB,Online TA,No Deposit,A,A,82,2,90,0,0,492,0,2,4,0,0,0
TA/TO,Canceled,11/07/2015,13955,PRT,BB,Online TA,No Deposit,A,A,62,2,89,0,1,372,0,1,5,0,1,0
TA/TO,Check-Out,11/07/2015,15840,PRT,BB,Offline TA/TO,No Deposit,D,D,85.86,3,81,0,0,686.88,0,2,6,0,0,0
TA/TO,Canceled,11/07/2015,15935,PRT,BB,Online TA,No Deposit,A,A,72,1,73,0,1,360,0,1,4,0,1,0
TA/TO,Check-Out,11/07/2015,16589,,BB,Offline TA/TO,No Deposit,C,A,58.95,2,14,0,0,294.75,0,1,4,0,0,0
Direct,Check-Out,11/07/2015,16625,CHE,HB,Direct,No Deposit,G,G,157.25,2,151,0,0,629,2,0,4,0,0,0
TA/TO,Check-Out,11/07/2015,16626,PRT,BB,Online TA,No Deposit,A,A,110.7,2,137,0,0,442.8,0,0,4,0,0,0
TA/TO,Check-Out,11/07/2015,17888,PRT,BB,Online TA,No Deposit,E,E,123,2,28,0,0,615,0,1,4,0,0,0
TA/TO,Canceled,11/07/2015,18034,PRT,BB,Online TA,No Deposit,A,A,29.16,2,164,0,1,87.48,0,2,1,0,1,0
TA/TO,Check-Out,12/07/2015,8,ESP,HB,Online TA,No Deposit,C,A,117.8,2,98,0,0,706.8,0,1,5,1,0,0
TA/TO,Check-Out,12/07/2015,11,PRT,BB,Online TA,No Deposit,A,A,73.8,2,91,0,0,147.6,0,0,2,0,0,0
TA/TO,Check-Out,12/07/2015,14,DEU,HB,Online TA,No Deposit,A,A,144.9,2,0,0,0,144.9,0,0,1,0,0,0
TA/TO,Check-Out,12/07/2015,2033,ESP,BB,Online TA,No Deposit,D,D,146,2,5,0,0,584,0,0,4,0,0,0
TA/TO,Check-Out,12/07/2015,2035,PRT,BB,Online TA,No Deposit,A,A,98,2,23,0,0,196,0,0,2,0,0,0
TA/TO,Check-Out,12/07/2015,2040,ESP,BB,Online TA,No Deposit,A,A,131,2,0,0,0,131,0,0,1,0,0,0
TA/TO,Check-Out,12/07/2015,3960,PRT,BB,Online TA,No Deposit,A,A,82,2,78,1,0,246,0,0,3,0,0,0
TA/TO,Check-Out,12/07/2015,7893,PRT,BB,Online TA,No Deposit,A,A,131,2,7,0,0,524,0,0,4,1,0,0
TA/TO,Check-Out,12/07/2015,7895,PRT,BB,Online TA,No Deposit,A,A,110.5,2,11,0,0,221,0,0,2,0,0,0
Direct,Check-Out,12/07/2015,8672,PRT,BB,Direct,No Deposit,D,D,84.15,2,134,0,0,336.6,0,0,4,0,0,0
TA/TO,Check-Out,12/07/2015,9951,FRA,BB,Offline TA/TO,No Deposit,A,A,58.95,2,99,0,0,530.55,0,2,7,0,0,0
TA/TO,Check-Out,12/07/2015,10725,IRL,BB,Offline TA/TO,No Deposit,A,A,55.68,2,184,0,0,389.76,0,2,5,0,0,0
TA/TO,Check-Out,12/07/2015,11898,PRT,BB,Online TA,No Deposit,A,A,88.2,2,22,0,0,176.4,0,0,2,0,0,0
TA/TO,Check-Out,12/07/2015,11899,PRT,BB,Online TA,No Deposit,A,A,131,2,3,0,0,262,0,0,2,0,0,0
TA/TO,Check-Out,12/07/2015,11900,PRT,BB,Online TA,No Deposit,A,A,73.8,2,91,0,0,147.6,0,0,2,0,0,0
TA/TO,Check-Out,12/07/2015,12640,PRT,BB,Offline TA/TO,No Deposit,A,A,58.95,2,123,0,0,412.65,0,2,5,0,0,0
TA/TO,Check-Out,12/07/2015,13863,PRT,BB,Offline TA/TO,No Deposit,A,A,110.7,2,83,0,0,442.8,0,0,4,0,0,0
TA/TO,Check-Out,12/07/2015,14610,PRT,HB,Offline TA/TO,No Deposit,D,D,96.95,2,130,0,0,775.6,0,2,6,1,0,0
Direct,Check-Out,12/07/2015,15845,PRT,HB,Direct,No Deposit,C,C,164.2,2,97,0,0,1149.4,2,2,5,1,0,0
TA/TO,Check-Out,12/07/2015,15848,PRT,HB,Online TA,No Deposit,G,G,185,2,13,0,0,370,1,0,2,1,0,0
TA/TO,Check-Out,12/07/2015,15851,PRT,FB,Offline TA/TO,No Deposit,A,A,117.22,2,90,0,0,820.54,0,2,5,0,0,0
TA/TO,Check-Out,13/07/2015,3,IRL,BB,Offline TA/TO,No Deposit,A,A,56.01,2,93,0,0,616.11,0,3,8,0,0,0
TA/TO,Check-Out,13/07/2015,2036,GBR,BB,Online TA,No Deposit,E,E,96.3,2,106,0,0,288.9,0,1,2,0,0,0
TA/TO,Canceled,13/07/2015,2120,PRT,BB,Online TA,No Deposit,E,E,63.14,2,80,0,1,252.56,0,1,3,0,1,0
TA/TO,Check-Out,13/07/2015,7885,GBR,BB,Offline TA/TO,No Deposit,A,A,55.68,2,364,0,0,556.8,0,3,7,0,0,0
TA/TO,Check-Out,13/07/2015,7901,ESP,BB,Offline TA/TO,No Deposit,A,A,65.5,2,71,0,0,131,0,1,1,0,0,0
Direct,Canceled,13/07/2015,7908,PRT,FB,Groups,No Deposit,A,A,0,2,57,0,1,0,0,0,2,0,1,0
